"word,""count"",""Filename"";""Filename"""
"deeply,""6"",""2020-06-11.csv"";"
"matters,""6"",""2020-06-11.csv"";"
"write,""6"",""2020-06-11.csv"";"
"covid19,""6"",""2020-06-11.csv"";"
"capacity,""6"",""2020-06-11.csv"";"
"scientific,""6"",""2020-06-11.csv"";"
"homes,""6"",""2020-06-11.csv"";"
"quarantine,""6"",""2020-06-11.csv"";"
"tourism,""6"",""2020-06-11.csv"";"
"continue,""6"",""2020-06-11.csv"";"
"hear,""6"",""2020-06-11.csv"";"
"furlough,""6"",""2020-06-11.csv"";"
"winter,""6"",""2020-06-11.csv"";"
"report,""6"",""2020-06-11.csv"";"
"?u,""6"",""2020-06-11.csv"";"
"reason,""6"",""2020-06-11.csv"";"
"trace,""6"",""2020-06-11.csv"";"
"tracing,""6"",""2020-06-11.csv"";"
"ross,""6"",""2020-06-11.csv"";"
"majority,""6"",""2020-06-11.csv"";"
"before,""6"",""2020-06-11.csv"";"
"life,""6"",""2020-06-11.csv"";"
"spanish,""6"",""2020-06-11.csv"";"
"buckland,""5"",""2020-06-11.csv"";"
"cymm,""5"",""2020-06-11.csv"";"
"last,""5"",""2020-06-11.csv"";"
"join,""5"",""2020-06-11.csv"";"
"years,""5"",""2020-06-11.csv"";"
"possible,""5"",""2020-06-11.csv"";"
"particular,""5"",""2020-06-11.csv"";"
"whilst,""5"",""2020-06-11.csv"";"
"democracy,""5"",""2020-06-11.csv"";"
"debt,""5"",""2020-06-11.csv"";"
"million,""5"",""2020-06-11.csv"";"
"always,""5"",""2020-06-11.csv"";"
"anything,""5"",""2020-06-11.csv"";"
"tried,""5"",""2020-06-11.csv"";"
"new,""5"",""2020-06-11.csv"";"
"idea,""5"",""2020-06-11.csv"";"
"argument,""5"",""2020-06-11.csv"";"
"colonial,""5"",""2020-06-11.csv"";"
"died,""5"",""2020-06-11.csv"";"
"having,""5"",""2020-06-11.csv"";"
"says,""5"",""2020-06-11.csv"";"
"any,""5"",""2020-06-11.csv"";"
"against,""5"",""2020-06-11.csv"";"
"happening,""5"",""2020-06-11.csv"";"
"fear,""5"",""2020-06-11.csv"";"
"themselves,""5"",""2020-06-11.csv"";"
"long,""5"",""2020-06-11.csv"";"
"children,""5"",""2020-06-11.csv"";"
"issues,""5"",""2020-06-11.csv"";"
"second,""5"",""2020-06-11.csv"";"
"both,""5"",""2020-06-11.csv"";"
"whether,""5"",""2020-06-11.csv"";"
"pleased,""5"",""2020-06-11.csv"";"
"campaign,""5"",""2020-06-11.csv"";"
"criminaljustice,""5"",""2020-06-11.csv"";"
"blind,""5"",""2020-06-11.csv"";"
"future,""5"",""2020-06-11.csv"";"
"watermelon,""5"",""2020-06-11.csv"";"
"respond,""5"",""2020-06-11.csv"";"
"certainly,""5"",""2020-06-11.csv"";"
"racist,""5"",""2020-06-11.csv"";"
"disappointing,""5"",""2020-06-11.csv"";"
"compared,""5"",""2020-06-11.csv"";"
"united,""5"",""2020-06-11.csv"";"
"needed,""5"",""2020-06-11.csv"";"
"population,""5"",""2020-06-11.csv"";"
