word,count,Filename
105,1,18/06/2020
106,1,24/09/2020
111,9,05/03/2020
111,3,12/03/2020
111,2,26/03/2020
111,1,07/05/2020
118,4,19/03/2020
119,2,28/05/2020
120,1,12/03/2020
120,1,01/10/2020
123,1,12/03/2020
125,1,18/06/2020
130,1,16/04/2020
130,4,30/04/2020
135,1,15/10/2020
135,1,26/11/2020
137,1,10/12/2020
140,3,19/03/2020
141,1,16/01/2020
145,3,16/04/2020
150,7,30/01/2020
150,1,19/03/2020
150,1,26/11/2020
151,1,02/04/2020
157,2,08/10/2020
160,1,30/01/2020
160,1,17/09/2020
170,1,14/05/2020
170,1,21/05/2020
175,1,24/09/2020
180,2,27/02/2020
183,1,04/06/2020
195,1,11/06/2020
196,1,05/03/2020
196,1,16/04/2020
196,3,11/06/2020
200,3,30/01/2020
200,1,05/03/2020
200,1,12/03/2020
200,1,24/09/2020
200,1,22/10/2020
200,2,03/12/2020
201,1,18/06/2020
205,1,19/03/2020
205,1,01/10/2020
212,1,18/06/2020
217,1,07/05/2020
226,1,23/01/2020
236,2,27/02/2020
247,3,05/03/2020
250,1,30/01/2020
250,1,15/10/2020
250,1,12/11/2020
250,4,26/11/2020
255,2,26/11/2020
289,1,03/12/2020
296,1,16/01/2020
296,1,23/01/2020
296,1,30/04/2020
296,2,14/05/2020
296,2,21/05/2020
296,2,11/06/2020
296,1,10/12/2020
300,1,13/02/2020
300,5,26/03/2020
300,2,14/05/2020
300,1,01/10/2020
300,1,22/10/2020
300,1,29/10/2020
305,1,19/03/2020
305,1,11/06/2020
330,2,16/04/2020
330,1,26/11/2020
335,1,21/05/2020
350,3,23/01/2020
350,1,20/02/2020
350,1,26/03/2020
350,1,14/05/2020
350,1,21/05/2020
350,1,12/11/2020
360,2,29/10/2020
396,2,23/01/2020
396,2,11/06/2020
400,1,03/12/2020
405,3,27/02/2020
405,2,04/06/2020
441,1,07/05/2020
496,1,10/12/2020
500,2,30/01/2020
500,2,27/02/2020
500,5,12/03/2020
500,1,16/04/2020
500,1,08/10/2020
500,1,12/11/2020
500,1,19/11/2020
505,1,12/03/2020
505,3,12/11/2020
508,1,24/09/2020
596,3,27/02/2020
596,3,05/03/2020
596,1,07/05/2020
596,1,14/05/2020
596,1,10/12/2020
600,1,20/02/2020
600,1,19/11/2020
600,1,26/11/2020
600,1,03/12/2020
601,1,26/03/2020
605,1,20/02/2020
605,1,12/03/2020
619,1,11/06/2020
620,1,29/10/2020
650,1,30/01/2020
655,1,17/09/2020
655,1,12/11/2020
659,1,11/06/2020
700,1,23/01/2020
700,4,27/02/2020
700,4,15/10/2020
705,1,20/02/2020
705,1,19/03/2020
705,3,16/04/2020
705,1,03/12/2020
710,2,07/05/2020
750,1,10/12/2020
777,2,04/06/2020
796,2,23/01/2020
801,2,27/02/2020
801,1,04/06/2020
801,1,11/06/2020
805,3,16/04/2020
815,1,24/09/2020
816,1,20/02/2020
896,1,23/01/2020
896,2,02/04/2020
896,1,09/04/2020
905,1,09/01/2020
911,1,21/05/2020
911,1,19/11/2020
912,1,28/05/2020
996,1,27/02/2020
996,1,30/04/2020
1000,1,13/02/2020
1000,1,20/02/2020
1000,1,12/03/2020
1000,1,19/03/2020
1000,1,24/09/2020
1000,1,15/10/2020
1000,3,03/12/2020
1001,1,27/02/2020
1001,1,16/04/2020
1015,4,18/06/2020
1030,1,01/10/2020
1096,1,05/03/2020
1096,1,30/04/2020
1096,7,14/05/2020
1096,1,01/10/2020
1112,8,26/03/2020
1130,2,24/09/2020
1225,1,12/03/2020
1316,1,12/03/2020
1400,2,19/03/2020
1496,1,14/05/2020
1500,3,30/01/2020
1500,2,25/06/2020
1500,1,15/10/2020
1596,2,27/02/2020
1618,1,25/06/2020
1824,1,06/02/2020
1837,1,11/06/2020
1918,1,09/04/2020
1918,4,04/06/2020
1918,1,11/06/2020
1919,5,27/02/2020
1920,1,27/02/2020
1933,3,04/06/2020
1935,1,09/01/2020
1935,1,16/01/2020
1935,1,23/01/2020
1941,1,09/01/2020
1948,1,16/01/2020
1961,1,27/02/2020
1968,1,11/06/2020
1973,1,13/02/2020
1973,2,03/12/2020
1974,2,05/03/2020
1978,1,29/10/2020
1979,1,09/01/2020
1983,1,20/02/2020
1990,1,23/01/2020
1990,1,04/06/2020
1995,1,12/11/2020
1996,2,11/06/2020
1997,1,09/01/2020
1997,2,02/04/2020
1999,1,13/02/2020
1999,1,15/10/2020
2000,3,30/01/2020
2000,1,30/04/2020
2000,2,21/05/2020
2000,1,17/09/2020
2000,2,05/11/2020
2002,1,09/01/2020
2003,1,09/01/2020
2004,2,16/01/2020
2005,3,02/04/2020
2007,1,20/02/2020
2007,3,19/11/2020
2008,1,23/01/2020
2008,1,19/03/2020
2008,2,26/03/2020
2008,1,30/04/2020
2008,1,25/06/2020
2008,1,15/10/2020
2008,1,12/11/2020
2008,1,26/11/2020
2009,5,19/03/2020
2009,1,08/10/2020
2009,1,22/10/2020
2009,1,19/11/2020
2010,1,09/01/2020
2010,4,16/01/2020
2010,1,23/01/2020
2010,2,06/02/2020
2010,1,20/02/2020
2010,6,27/02/2020
2010,2,09/04/2020
2010,5,30/04/2020
2010,1,18/06/2020
2010,1,24/09/2020
2010,4,01/10/2020
2011,1,16/01/2020
2011,1,26/03/2020
2012,4,13/02/2020
2012,1,18/06/2020
